Nome_Musica,Artista,Genero,Ano,BPM,Energia,Dancabilidade,Valencia,Loudness,Streams,Taxa_Crescimento,Qtd_Playlists,Compartilhamentos,Taxa_Skip,Taxa_Replay,Popularidade
Gold Digger,Kanye West,Pop,2022,82,0.91,0.67,0.42,-0.91,768949521,0.84,252,45655,0.4,0.77,75
Peaches,Justin Bieber,R&B,2017,62,0.7,0.83,0.4,-32.76,399824196,0.81,53,172310,0.24,0.44,66
Memories,Maroon 5,Rock,1997,160,0.43,0.67,0.27,-7.06,491391425,0.85,183,148060,0.18,0.85,66
Like a Virgin,Madonna,Rock,2012,177,0.77,0.61,0.77,-6.86,151418383,0.31,73,23393,0.3,0.01,46
Yellow,Coldplay,Pop,2003,129,0.98,0.41,0.41,-59.14,743482132,0.4,133,15848,0.62,0.43,54
New Rules,Dua Lipa,R&B,1988,153,0.59,0.5,0.62,-12.11,176505255,0.28,286,115837,0.03,0.32,47
Shape of You,Ed Sheeran,Pop,1998,122,0.72,0.87,0.95,-29.57,341288087,0.63,297,99088,0.26,0.08,63
Anti-Hero,Taylor Swift,Rock,1988,65,0.92,0.3,0.23,-44.54,359823025,0.06,30,77464,0.23,0.17,38
Photograph,Ed Sheeran,R&B,2024,114,0.9,0.22,0.56,-7.58,99786931,0.32,27,24527,0.67,0.25,38
Tití Me Preguntó,Bad Bunny,Eletrônica,2007,60,0.85,0.94,0.83,-26.93,59588634,0.7,285,71837,0.29,0.05,62
Work,Rihanna,Pop,1996,73,0.96,0.47,0.32,-41.48,199697500,0.3,67,189964,0.03,0.57,53
Tití Me Preguntó,Bad Bunny,R&B,2008,161,0.49,0.41,0.16,-19.37,771864931,0.7,298,186029,0.33,0.05,48
Tiny Dancer,Elton John,Pop,2022,64,1.0,0.55,0.77,-41.63,229716288,0.86,209,28557,0.38,0.38,65
Break My Soul,Beyoncé,Eletrônica,1994,111,0.51,0.6,0.56,-50.6,73125213,0.87,133,105248,0.31,0.57,59
Like a Virgin,Madonna,Hip-Hop,1986,177,0.77,0.75,0.13,-37.7,183382868,0.2,53,137914,0.58,0.84,50
Blank Space,Taylor Swift,Rock,1995,82,0.36,0.95,0.65,-42.32,319255045,0.69,103,137958,0.45,0.05,54
Yonaguni,Bad Bunny,Rock,1992,63,0.26,0.52,0.72,-15.2,75579178,0.23,12,71673,0.28,0.74,45
Sorry,Justin Bieber,R&B,1995,123,0.26,0.84,0.84,-39.14,93700577,0.92,141,82550,0.37,0.3,59
Peaches,Justin Bieber,Eletrônica,2010,95,0.4,0.49,0.84,-23.45,390756104,0.88,190,15333,0.62,0.02,50
Diamonds,Rihanna,R&B,2003,113,0.79,0.45,0.12,-33.54,313191109,0.31,35,183298,0.04,0.13,43
Thank U Next,Ariana Grande,Eletrônica,1982,74,0.78,0.64,0.32,-51.89,592669095,0.76,211,86425,0.64,0.76,65
Save Your Tears,The Weeknd,Eletrônica,1998,144,0.23,0.52,0.72,-50.81,640320248,0.54,224,70074,0.67,0.11,44
Billie Jean,Michael Jackson,R&B,1998,133,0.4,0.89,0.26,-17.14,181237374,0.75,14,31664,0.02,0.34,58
Bohemian Rhapsody,Queen,Rock,1986,92,0.63,0.53,0.33,-15.89,282697059,0.92,181,100735,0.14,0.3,58
Blinding Lights,The Weeknd,Eletrônica,1983,90,0.21,0.63,0.91,-1.8,352674083,0.93,122,45422,0.27,0.9,68
Halo,Beyoncé,R&B,1989,146,0.89,0.91,0.69,-28.74,496171562,0.92,37,76993,0.62,0.5,74
Anti-Hero,Taylor Swift,Rock,1998,177,0.87,0.8,0.5,-5.62,308839776,0.33,106,129264,0.18,0.85,65
Don't Stop Me Now,Queen,Pop,2015,106,0.31,0.43,0.11,-40.66,367952634,0.18,2,10685,0.29,0.76,41
Hung Up,Madonna,Rock,1990,150,0.97,0.35,0.83,-8.96,312888171,0.65,300,191409,0.05,0.99,71
Hotline Bling,Drake,R&B,2010,160,0.2,0.53,0.53,-35.53,555039802,0.86,34,36118,0.18,0.84,63
Umbrella,Rihanna,Eletrônica,2013,147,0.63,0.34,0.3,-30.54,158737005,0.05,4,190970,0.15,0.66,40
Beat It,Michael Jackson,Rock,2011,75,0.87,0.33,0.52,-39.18,737004434,0.73,144,119951,0.46,0.78,65
Mamma Mia,ABBA,Pop,1989,122,0.74,0.77,0.99,-56.55,623297366,0.25,62,105582,0.53,0.17,56
Bohemian Rhapsody,Queen,Eletrônica,1982,63,0.61,0.24,0.72,-30.73,192003001,0.35,157,190818,0.52,0.75,46
Beat It,Michael Jackson,R&B,2016,131,0.85,0.3,0.2,-53.43,145611598,0.0,146,90871,0.67,0.79,37
Uptown Funk,Bruno Mars,R&B,1986,146,0.7,0.51,0.99,-40.36,71911513,0.14,168,60599,0.51,0.74,50
7 rings,Ariana Grande,Rock,1981,147,0.63,0.34,0.46,-39.09,437973693,0.15,89,184521,0.66,0.42,39
Sugar,Maroon 5,Rock,1994,143,0.69,0.62,0.8,-57.67,317048665,0.98,89,12619,0.52,0.67,69
New Rules,Dua Lipa,Hip-Hop,2020,148,0.95,0.75,0.94,-8.05,282052104,0.31,292,76193,0.04,0.4,63
Beat It,Michael Jackson,R&B,2012,141,0.23,0.8,0.54,-40.75,361261337,0.46,11,70857,0.13,0.35,52
Photograph,Ed Sheeran,R&B,2003,112,0.25,0.66,0.28,-59.72,746837847,0.03,123,82275,0.01,0.81,51
Like a Virgin,Madonna,Rock,2012,128,0.79,0.99,0.24,-58.95,564810217,0.52,251,103137,0.61,0.69,65
Fix You,Coldplay,Eletrônica,2005,131,0.27,0.45,0.43,-53.46,177959309,0.92,281,116125,0.78,0.91,53
Yonaguni,Bad Bunny,Rock,2012,131,0.75,0.54,0.32,-45.46,750370817,0.3,29,108601,0.7,0.84,56
Your Song,Elton John,Hip-Hop,1991,144,0.78,0.59,0.89,-24.39,376036102,0.26,167,158720,0.64,0.22,49
God's Plan,Drake,Eletrônica,1987,146,0.62,0.61,0.94,-14.23,36334164,0.48,268,159673,0.73,0.8,55
Stronger,Kanye West,Eletrônica,2014,89,0.29,0.47,0.5,-55.4,414201437,0.73,260,146071,0.67,0.07,42
Sorry,Justin Bieber,Eletrônica,1986,164,0.2,0.96,0.45,-54.14,371043711,0.95,23,48434,0.01,0.37,65
We Will Rock You,Queen,Pop,1993,171,0.45,0.29,0.62,-18.49,779464235,0.75,127,188708,0.42,0.4,55
Baby,Justin Bieber,R&B,1997,158,0.34,0.29,0.45,-46.39,158338247,0.38,28,39088,0.35,0.85,44
Sugar,Maroon 5,Eletrônica,1994,76,0.24,0.93,0.62,-13.23,88904178,0.32,152,88697,0.18,0.76,55
Shake It Off,Taylor Swift,Rock,1980,62,0.91,0.45,0.36,-6.92,579254251,0.46,218,188683,0.62,0.09,47
One Dance,Drake,Pop,1995,180,0.63,0.29,0.38,-39.76,671972072,0.65,12,106921,0.25,0.48,55
Photograph,Ed Sheeran,Pop,1991,66,0.72,0.93,0.36,-20.42,481213318,0.54,271,148917,0.68,0.68,63
Shape of You,Ed Sheeran,Pop,2002,134,0.29,0.5,0.99,-12.24,519618096,0.92,215,31078,0.54,0.97,68
Memories,Maroon 5,R&B,1995,61,0.62,0.9,0.51,-38.79,561480588,0.54,100,11204,0.27,0.98,72
Heartless,Kanye West,Hip-Hop,1980,131,0.39,0.51,0.73,-6.49,693147006,0.46,18,46109,0.31,0.19,50
Levitating,Dua Lipa,R&B,2003,141,0.66,0.39,0.29,-15.93,507276985,0.04,172,56933,0.41,0.44,40
Rocket Man,Elton John,Hip-Hop,2011,75,0.79,0.25,0.51,-3.2,74252521,0.02,157,1955,0.19,0.6,40
Stronger,Kanye West,Hip-Hop,2005,69,0.37,0.82,0.47,-52.21,306080233,0.77,40,93602,0.75,0.62,57
Memories,Maroon 5,Rock,1994,174,0.58,0.65,0.1,-18.01,63222291,0.06,24,136916,0.33,0.65,41
Like a Virgin,Madonna,Eletrônica,2007,155,0.49,0.75,0.84,-28.52,575904621,0.11,195,22619,0.54,0.16,47
Dakiti,Bad Bunny,Hip-Hop,1995,81,0.23,0.2,0.98,-55.62,122199858,0.76,234,185296,0.25,0.24,45
Yellow,Coldplay,R&B,1993,68,0.34,0.57,0.27,-42.06,426060219,0.85,194,3274,0.18,0.5,57
We Will Rock You,Queen,Rock,2024,128,0.61,0.83,0.21,-18.28,773385908,0.33,180,161456,0.29,0.14,53
Don't Start Now,Dua Lipa,Hip-Hop,1995,127,0.55,0.44,0.25,-25.19,632546613,0.88,173,130406,0.57,0.72,60
Dakiti,Bad Bunny,Rock,1986,159,0.23,0.56,0.45,-31.5,776323513,0.2,155,141684,0.4,0.16,41
Levitating,Dua Lipa,Hip-Hop,1993,125,0.33,0.94,0.23,-26.69,216990707,0.48,88,189602,0.71,0.35,46
Yonaguni,Bad Bunny,Pop,1996,104,0.43,0.84,0.5,-14.16,353197476,0.34,151,109358,0.35,0.22,49
Photograph,Ed Sheeran,R&B,1991,78,0.52,0.92,0.85,-15.31,606824561,0.15,296,196177,0.56,0.12,51
One Dance,Drake,Rock,2012,104,0.31,0.36,0.59,-25.43,782111100,0.13,234,184704,0.58,0.46,41
Mamma Mia,ABBA,Hip-Hop,2023,129,0.7,0.62,0.18,-17.53,696913826,0.25,248,177632,0.77,0.91,54
Shape of You,Ed Sheeran,Hip-Hop,1996,82,0.91,0.55,0.34,-54.28,527961861,0.0,56,127375,0.8,0.32,41
Lose Yourself,Eminem,Hip-Hop,2010,147,0.59,0.46,0.28,-14.93,606574020,0.59,92,87088,0.71,0.63,52
Uptown Funk,Bruno Mars,Pop,1998,98,0.49,0.27,0.53,-27.61,379751197,0.51,281,93250,0.2,0.85,53
Halo,Beyoncé,Hip-Hop,2020,134,0.65,0.7,0.76,-8.32,249060918,0.04,192,22963,0.18,0.73,54
Memories,Maroon 5,Rock,2005,144,0.5,0.32,0.53,-29.85,557744620,0.18,228,77680,0.23,0.46,44
Mamma Mia,ABBA,Hip-Hop,2009,113,0.77,0.9,0.3,-46.68,168380068,0.11,266,127837,0.54,0.39,47
Beat It,Michael Jackson,Rock,1991,161,0.71,0.91,0.15,-57.27,10676800,0.02,285,135222,0.12,0.28,43
Blinding Lights,The Weeknd,Pop,1998,118,0.5,0.4,0.6,-7.7,401312111,0.08,91,199273,0.53,0.02,33
Your Song,Elton John,Pop,2010,90,0.51,0.86,0.33,-23.57,670490370,0.71,278,129047,0.6,0.28,58
24K Magic,Bruno Mars,Hip-Hop,2009,151,0.29,0.93,0.3,-5.78,718389038,0.2,14,31267,0.27,0.0,46
Lose Yourself,Eminem,Rock,2017,147,0.28,0.43,0.62,-52.12,407523108,0.77,175,133331,0.24,0.55,55
Without Me,Eminem,Rock,2013,142,0.97,0.48,0.16,-56.31,373336737,0.72,260,96446,0.15,0.43,59
Don't Start Now,Dua Lipa,R&B,1996,75,0.23,0.49,0.5,-45.37,567759337,0.69,237,105460,0.19,0.12,49
We Will Rock You,Queen,Hip-Hop,2022,88,0.61,0.28,0.55,-3.03,378602135,0.76,6,50194,0.78,0.13,44
Baby,Justin Bieber,R&B,1986,126,0.53,0.51,0.89,-2.6,77524375,0.44,27,73247,0.73,0.12,41
Photograph,Ed Sheeran,R&B,2000,112,0.75,0.44,0.45,-39.99,55248711,0.35,192,2908,0.31,0.33,44
Perfect,Ed Sheeran,Hip-Hop,2019,162,0.54,0.22,0.86,-50.77,344174083,0.18,244,71235,0.35,0.42,41
Stronger,Kanye West,Hip-Hop,1981,170,0.88,0.57,0.54,-15.56,513156631,0.05,223,37283,0.35,0.74,55
7 rings,Ariana Grande,Hip-Hop,1989,84,0.6,0.76,0.73,-12.23,428213995,0.55,103,41461,0.01,0.03,58
Tiny Dancer,Elton John,Pop,1984,77,0.5,0.58,0.95,-52.08,64690509,0.17,11,22395,0.05,0.94,56
Rocket Man,Elton John,Rock,1984,86,0.87,0.45,0.58,-52.09,584413629,0.72,128,180712,0.67,0.34,57
Mamma Mia,ABBA,Pop,1998,93,0.75,0.4,0.14,-44.86,484593220,0.23,191,17267,0.38,0.12,39
Viva La Vida,Coldplay,Eletrônica,1990,179,0.67,0.31,0.56,-13.53,159853896,0.25,299,20718,0.67,0.79,43
Peaches,Justin Bieber,Pop,1997,88,0.2,0.53,0.9,-16.08,506897239,1.0,217,96312,0.79,0.34,56
Anti-Hero,Taylor Swift,Eletrônica,1992,66,0.29,0.5,0.83,-32.26,130002587,0.56,251,46043,0.76,0.77,49
Yellow,Coldplay,Rock,2023,74,0.28,0.4,0.55,-25.02,181410485,0.33,279,38479,0.06,0.85,48
Work,Rihanna,Eletrônica,1993,69,0.59,0.84,0.92,-38.58,480268216,0.85,15,91840,0.52,0.83,75
Don't Start Now,Dua Lipa,Eletrônica,2017,82,0.55,0.29,0.36,-37.62,128579098,0.59,32,151007,0.47,0.72,47
Rocket Man,Elton John,Pop,2023,169,0.99,0.64,0.82,-50.77,519130335,0.27,12,157640,0.74,0.1,51
Your Song,Elton John,Rock,1999,75,0.6,0.69,0.92,-21.41,336263912,0.64,272,145072,0.69,0.27,56
Yonaguni,Bad Bunny,R&B,1990,161,0.64,0.39,0.69,-57.28,315470194,0.23,237,149097,0.21,0.73,51
Baby,Justin Bieber,Rock,1993,179,0.74,0.7,0.14,-39.35,726036897,0.38,16,4583,0.74,0.61,54
Levitating,Dua Lipa,Pop,2008,60,0.38,0.77,0.68,-4.54,167894965,0.25,205,4261,0.78,0.86,50
Stronger,Kanye West,Pop,2012,70,0.24,0.49,0.94,-57.17,473437233,0.64,199,37846,0.14,0.15,52
7 rings,Ariana Grande,Eletrônica,2020,132,1.0,0.71,0.1,-0.34,90694597,0.09,277,126441,0.28,0.82,52
Dakiti,Bad Bunny,Pop,2004,132,0.89,0.67,0.36,-21.78,790892476,0.35,231,189497,0.76,0.4,55
Like a Virgin,Madonna,Rock,1981,98,0.87,0.87,0.65,-43.06,611020528,0.7,104,84328,0.14,0.29,71
Bohemian Rhapsody,Queen,R&B,1998,113,0.83,0.64,0.13,-45.28,605782606,0.21,234,125643,0.57,0.7,53
Don't Stop Me Now,Queen,Rock,1998,176,0.54,0.43,0.71,-29.62,741637703,0.78,215,182664,0.02,0.64,68
Rocket Man,Elton John,Rock,2020,165,0.46,0.97,0.98,-43.61,778320355,0.33,125,119820,0.49,0.38,63
Diamonds,Rihanna,Rock,2024,99,0.72,0.78,0.85,-36.48,787083912,0.11,175,153936,0.4,0.67,62
Gimme Gimme Gimme,ABBA,Pop,2006,109,0.22,0.51,0.36,-25.25,646755211,0.95,107,108874,0.36,0.56,58
Blank Space,Taylor Swift,Hip-Hop,2014,104,0.6,0.37,0.87,-17.76,409505199,0.11,8,19516,0.19,0.69,50
Starboy,The Weeknd,R&B,2019,68,0.51,0.75,0.79,-45.76,485949859,0.11,80,27100,0.04,0.05,49
Photograph,Ed Sheeran,Rock,1992,111,0.42,0.24,0.57,-11.86,203096491,0.48,233,91279,0.46,0.05,35
Blank Space,Taylor Swift,Rock,2004,75,0.23,0.64,0.95,-30.32,359745874,0.18,15,28973,0.01,0.68,53
Thank U Next,Ariana Grande,Pop,2009,131,0.95,0.43,0.69,-12.25,159462300,0.61,47,96530,0.52,0.19,51
Tiny Dancer,Elton John,R&B,1983,60,0.71,0.97,0.97,-6.37,183895153,0.39,150,175019,0.12,0.81,70
Sugar,Maroon 5,Pop,2006,82,0.81,0.45,0.92,-43.87,779406107,0.52,105,197280,0.43,0.37,61
Halo,Beyoncé,Eletrônica,1988,173,0.21,0.8,0.94,-48.23,382806719,0.31,242,140939,0.74,0.92,55
Don't Stop Me Now,Queen,Pop,1981,151,0.63,0.52,0.45,-45.77,776834251,0.24,161,54813,0.5,0.25,47
Mamma Mia,ABBA,Eletrônica,1982,75,0.86,0.7,0.18,-5.28,30685648,0.29,144,46617,0.12,0.46,50
Without Me,Eminem,Rock,1983,90,0.99,0.98,0.26,-55.89,218304866,0.09,43,127438,0.68,0.77,56
Photograph,Ed Sheeran,Rock,2007,102,0.91,0.87,0.7,-20.59,191040816,0.95,158,16243,0.41,0.92,79
Thriller,Michael Jackson,Pop,2018,176,0.48,0.57,0.26,-3.66,569719749,0.69,129,85284,0.01,0.97,66
Heartless,Kanye West,Pop,1992,69,0.31,0.72,0.35,-19.28,84914480,0.37,60,86131,0.73,0.24,37
Thriller,Michael Jackson,Pop,2000,104,0.71,0.26,0.71,-4.32,546522812,0.66,29,176154,0.53,0.11,49
Thank U Next,Ariana Grande,R&B,2020,80,0.76,0.54,0.49,-0.15,479523568,0.7,258,161129,0.08,0.27,60
Blank Space,Taylor Swift,Eletrônica,1998,79,0.66,0.55,0.4,-15.74,698886945,0.66,282,35406,0.11,0.74,66
Uptown Funk,Bruno Mars,Eletrônica,2007,143,0.69,0.6,0.29,-8.6,101112976,0.14,43,46234,0.11,0.57,46
Heartless,Kanye West,Eletrônica,2008,112,0.63,0.57,0.58,-7.86,655741002,0.53,225,2422,0.71,1.0,63
Thriller,Michael Jackson,Hip-Hop,2021,84,0.56,0.35,0.61,-39.23,733000333,0.51,100,84410,0.41,0.19,49
Rap God,Eminem,R&B,2020,176,0.5,0.44,0.71,-3.0,585953268,0.84,287,123146,0.62,0.47,58
Tiny Dancer,Elton John,Eletrônica,2008,166,0.61,0.29,0.37,-38.06,247344550,0.1,63,140036,0.3,0.32,35
Hotline Bling,Drake,R&B,2014,177,0.4,0.89,0.3,-42.39,576807831,0.9,100,181779,0.15,0.86,73
Diamonds,Rihanna,Pop,1984,172,0.88,0.51,0.96,-53.21,300241201,0.56,19,166659,0.79,0.61,59
Tití Me Preguntó,Bad Bunny,Rock,2006,84,0.29,0.93,0.74,-49.63,188045624,0.26,116,59722,0.49,0.13,44
Tiny Dancer,Elton John,Hip-Hop,2008,170,0.69,0.69,0.18,-41.46,588725733,0.91,27,127301,0.18,0.5,67
Yonaguni,Bad Bunny,Hip-Hop,1986,130,0.92,0.87,0.14,-29.96,124101108,0.13,239,127060,0.23,0.25,48
Heartless,Kanye West,Eletrônica,1980,72,0.58,0.89,0.79,-6.93,195479183,0.26,189,21910,0.65,0.15,47
Gimme Gimme Gimme,ABBA,Eletrônica,1989,73,0.55,0.84,0.43,-24.58,368978170,0.73,110,4408,0.17,0.17,59
Stronger,Kanye West,Rock,2023,175,1.0,0.21,0.23,-25.87,498521990,0.63,131,87160,0.24,0.3,52
Girls Like You,Maroon 5,Pop,1984,131,0.53,0.23,0.67,-18.4,200945471,0.29,230,88320,0.42,0.3,37
Bohemian Rhapsody,Queen,Eletrônica,1986,85,0.25,0.41,0.76,-34.89,684380649,0.25,240,148985,0.19,0.11,42
Baby,Justin Bieber,R&B,2010,97,0.21,0.9,0.77,-40.35,185757215,0.39,169,165888,0.49,0.44,50
Your Song,Elton John,Eletrônica,2017,135,0.35,0.94,0.22,-20.87,301691140,0.64,153,71711,0.64,0.33,51
Like a Virgin,Madonna,Hip-Hop,2019,171,0.83,0.98,0.56,-18.7,436295677,0.89,129,143695,0.13,0.91,83
Yonaguni,Bad Bunny,Pop,2007,176,0.86,0.71,0.94,-37.35,545691351,0.84,170,106717,0.19,0.42,74
Don't Start Now,Dua Lipa,Rock,2012,124,0.75,0.29,0.22,-59.71,724408312,0.54,251,145837,0.46,0.35,49
Perfect,Ed Sheeran,Rock,2018,60,0.86,0.78,0.52,-27.58,471336572,0.78,113,199962,0.32,0.6,70
Like a Virgin,Madonna,Rock,1994,86,0.55,0.58,0.36,-52.4,308944296,0.2,17,152290,0.78,0.93,47
7 rings,Ariana Grande,Pop,2005,180,0.53,0.86,0.67,-20.59,664377350,0.37,271,111032,0.7,0.16,52
Shake It Off,Taylor Swift,Pop,1998,112,0.98,0.79,0.34,-18.63,582710061,0.61,270,140769,0.09,0.98,77
Billie Jean,Michael Jackson,Rock,2006,86,0.31,0.41,0.84,-45.53,696749105,0.63,105,18492,0.4,0.62,57
Single Ladies,Beyoncé,Hip-Hop,2000,78,0.9,0.5,0.79,-11.37,72799398,0.25,222,139253,0.66,0.24,44
Starboy,The Weeknd,R&B,1982,142,0.34,0.88,0.56,-59.8,29456195,0.77,194,19139,0.47,0.18,52
Mamma Mia,ABBA,R&B,1985,156,0.49,0.22,0.57,-10.61,791226963,0.16,141,160602,0.7,0.42,39
7 rings,Ariana Grande,R&B,1991,97,0.83,0.64,0.97,-53.54,284568932,0.4,37,38397,0.04,0.55,64
Yonaguni,Bad Bunny,R&B,2017,155,0.64,0.41,0.76,-3.38,459590155,0.79,73,23015,0.46,0.47,59
7 rings,Ariana Grande,Eletrônica,2007,87,0.75,0.25,0.3,-34.86,288140244,0.98,196,24419,0.66,0.25,49
Sorry,Justin Bieber,Hip-Hop,1990,136,0.75,0.78,0.26,-16.33,223807345,0.02,15,104297,0.61,0.86,49
God's Plan,Drake,Pop,2018,134,0.31,0.4,0.45,-21.76,483977478,0.06,3,27692,0.39,0.48,37
Viva La Vida,Coldplay,Eletrônica,2019,86,0.91,0.99,0.17,-52.1,253446721,0.6,18,16685,0.31,0.23,60
Without Me,Eminem,Eletrônica,2020,62,0.88,0.36,0.8,-8.67,233677595,0.7,180,190945,0.24,0.1,54
Shake It Off,Taylor Swift,Rock,2019,118,0.52,0.96,0.54,-37.45,766114856,0.25,229,118745,0.06,0.34,61
Vogue,Madonna,R&B,1993,180,0.61,0.38,0.34,-6.25,627486998,0.99,185,140980,0.3,0.78,66
Hung Up,Madonna,Rock,2013,142,0.24,0.37,0.12,-11.5,266902832,0.33,144,179229,0.65,0.03,26
Dancing Queen,ABBA,Pop,2013,64,0.3,0.41,0.12,-32.77,376075094,0.34,296,135298,0.68,0.2,31
Shake It Off,Taylor Swift,Pop,2006,97,0.85,0.44,0.76,-49.65,786122639,0.24,38,164549,0.5,0.66,58
Don't Stop Me Now,Queen,Pop,2022,84,0.83,0.66,0.12,-23.06,497644521,0.45,48,32517,0.26,0.73,60
Halo,Beyoncé,Hip-Hop,1995,137,0.41,0.45,0.99,-28.16,617003492,0.18,99,133840,0.69,0.75,50
Like a Virgin,Madonna,R&B,2007,140,1.0,0.87,0.13,-43.19,233471563,0.79,190,74511,0.16,0.82,73
Starboy,The Weeknd,R&B,1990,180,0.65,0.99,0.93,-41.56,37374160,0.78,178,95332,0.53,0.46,66
Beat It,Michael Jackson,R&B,2020,179,0.53,0.27,0.42,-42.67,94432567,0.98,181,176937,0.23,0.17,48
Heartless,Kanye West,Hip-Hop,2011,172,0.96,0.39,0.42,-37.56,164905876,0.48,10,176416,0.04,0.13,49
24K Magic,Bruno Mars,Rock,1989,66,0.27,1.0,0.24,-0.51,43515982,0.84,41,186543,0.72,0.22,49
Umbrella,Rihanna,Hip-Hop,2023,140,0.68,0.48,0.35,-7.18,562467882,0.18,44,136624,0.05,0.38,49
Work,Rihanna,Eletrônica,1998,119,0.96,0.99,0.18,-55.12,792643036,0.59,238,114009,0.67,0.9,74
Thank U Next,Ariana Grande,Hip-Hop,1999,79,0.97,0.55,0.49,-54.54,507019185,0.59,282,168216,0.42,0.09,55
New Rules,Dua Lipa,Eletrônica,2008,165,0.86,0.45,0.35,-31.39,775610630,0.53,102,190563,0.79,0.87,60
Girls Like You,Maroon 5,R&B,2004,76,0.38,0.77,0.83,-1.75,397885799,0.06,105,156172,0.8,0.61,46
Blinding Lights,The Weeknd,Pop,1996,86,0.85,0.41,0.77,-58.18,249758972,0.98,235,141051,0.01,0.74,72
Dakiti,Bad Bunny,R&B,1986,73,0.73,0.92,0.51,-46.73,107473500,0.32,18,43265,0.32,0.18,51
Girls Like You,Maroon 5,Pop,2022,104,0.95,0.85,0.12,-42.41,460070578,0.98,297,171567,0.51,0.39,68
Blank Space,Taylor Swift,Hip-Hop,1997,103,0.63,0.3,0.91,-42.49,28940146,0.68,103,14403,0.17,0.91,60
Gold Digger,Kanye West,Eletrônica,2009,111,0.37,0.93,0.25,-42.48,217898468,0.31,172,98099,0.58,0.12,41
Hotline Bling,Drake,Hip-Hop,2010,148,0.83,0.55,0.29,-22.39,415885913,0.51,263,135352,0.78,0.1,45
Single Ladies,Beyoncé,Rock,1983,67,0.35,0.56,0.11,-53.47,584238755,0.87,146,64501,0.4,0.9,61
Grenade,Bruno Mars,Rock,1994,178,0.95,0.81,0.29,-4.07,780059606,0.73,130,38281,0.67,0.54,69
Beat It,Michael Jackson,Rock,2022,68,0.34,0.99,0.38,-21.61,733076011,0.93,105,142962,0.15,0.27,69
Bohemian Rhapsody,Queen,Hip-Hop,2007,75,0.44,0.39,0.15,-47.08,747422914,0.09,135,56472,0.04,0.11,38
Positions,Ariana Grande,Hip-Hop,2007,66,0.67,0.83,0.92,-26.03,421150987,0.71,78,79229,0.08,0.24,68
Yellow,Coldplay,Hip-Hop,2001,151,0.25,0.64,0.92,-59.04,375911346,0.28,160,157282,0.02,1.0,60
Shake It Off,Taylor Swift,Eletrônica,2012,132,0.72,0.26,0.16,-5.28,233750594,0.45,71,137475,0.5,0.16,36
Starboy,The Weeknd,Hip-Hop,2001,165,0.87,0.52,0.78,-57.07,211181401,1.0,26,107246,0.53,0.16,60
God's Plan,Drake,Hip-Hop,1988,162,0.51,0.31,0.61,-53.61,155622764,0.43,82,151676,0.46,0.16,38
Bohemian Rhapsody,Queen,Rock,2010,92,0.36,0.47,0.37,-52.67,783863,0.12,292,89490,0.1,0.14,32
7 rings,Ariana Grande,Rock,2018,76,0.5,0.63,0.55,-28.53,397452566,0.93,136,914,0.31,0.53,64
Baby,Justin Bieber,Pop,2022,155,0.51,0.37,0.63,-55.01,533850179,0.15,209,11260,0.41,0.39,42
Grenade,Bruno Mars,Hip-Hop,2009,60,0.59,0.3,0.52,-37.78,7158208,0.48,152,23395,0.2,0.12,39
Shape of You,Ed Sheeran,Rock,2006,156,0.75,0.22,0.42,-54.04,444992871,0.42,275,63591,0.11,0.64,52
Girls Like You,Maroon 5,Rock,1988,91,0.49,0.22,0.51,-6.05,16041140,0.28,98,172274,0.44,0.52,36
Peaches,Justin Bieber,Rock,1998,82,0.72,0.54,0.44,-31.5,90664163,0.06,165,161854,0.79,0.38,36
24K Magic,Bruno Mars,Hip-Hop,2017,133,0.7,0.23,0.61,-27.12,757876,0.56,61,179010,0.21,0.74,51
Diamonds,Rihanna,Hip-Hop,1981,157,0.57,0.36,0.57,-41.9,258556273,0.03,16,49304,0.44,0.07,31
Save Your Tears,The Weeknd,Hip-Hop,1990,87,0.89,0.31,0.57,-24.67,399358724,0.49,287,110948,0.57,0.05,45
Halo,Beyoncé,Rock,2010,111,0.67,0.59,0.51,-58.5,345752665,0.91,79,184316,0.77,0.63,61
Diamonds,Rihanna,Rock,2016,133,0.85,0.62,0.37,-42.63,545653014,0.38,5,196518,0.8,0.09,46
Diamonds,Rihanna,R&B,2011,178,0.27,0.62,0.33,-58.12,223286734,0.57,120,48169,0.04,0.66,53
Rocket Man,Elton John,R&B,1984,65,0.86,0.27,0.68,-43.52,426419114,0.62,65,191824,0.53,0.23,50
Levitating,Dua Lipa,Hip-Hop,2023,80,0.46,0.77,0.1,-3.63,617593525,0.93,102,20557,0.09,0.58,67
Positions,Ariana Grande,R&B,2001,93,0.92,0.67,0.55,-12.92,306952561,0.48,289,14998,0.37,0.33,57
Thank U Next,Ariana Grande,R&B,1996,164,0.99,0.42,0.8,-41.28,284746441,0.46,86,174863,0.46,0.78,61
Gimme Gimme Gimme,ABBA,Hip-Hop,1984,83,0.79,0.68,0.49,-22.44,338710398,0.21,8,119027,0.33,0.03,45
Shape of You,Ed Sheeran,Pop,1983,165,0.86,0.77,0.22,-15.16,731380837,0.29,234,175729,0.19,0.51,61
Blank Space,Taylor Swift,Hip-Hop,1998,97,0.97,0.21,0.29,-49.33,756545329,0.57,28,183150,0.01,0.54,60
